state,incentive_score,has_dc_tax_exemption,transparency_score,source_notes
AL,0.75,True,0,"Sales/income tax break up to 30yr for $400M+ investment, 20+ jobs at $40K+. No disclosure of recipients. (StreamDC; H5Data; AbitOs)"
AK,0.5,False,0,"No statewide sales tax (natural advantage) but no DC-specific incentive program. (StreamDC; H5Data)"
AZ,0.75,True,2,"Transaction Privilege Tax and Use Tax exemptions on equipment, 10-20yr. Discloses recipients via annual reports. (StreamDC; GJF Cloudy Data)"
AR,0.5,True,0,"Limited incentives under Act 819/Act 548 but not DC-specific sales tax exemption. No disclosure. (StreamDC)"
CA,0.25,False,0,"No DC-specific incentive. High taxes, stringent environmental regulations, carbon neutrality mandates. Regulatory friction. (StreamDC; MultiState)"
CO,0.5,False,0,"No DC-specific incentive currently. Expansion proposals under consideration in 2026. (MultiState 2026)"
CT,0.75,True,2,"Data Center Tax Incentive Program via DECD, 20-30yr exemptions. Discloses recipients. (StreamDC; GJF Cloudy Data)"
DE,0.5,False,0,"No DC-specific incentive but no sales or property tax statewide (natural advantage). (StreamDC; H5Data)"
DC,0.25,False,0,"No DC-specific incentive program. Limited land, high costs, urban zoning constraints. (General knowledge)"
FL,0.75,True,0,"Sales/use tax exemption for 100MW+ IT load facilities (eff. Aug 2025). Covers infrastructure, equipment, electricity. No disclosure. (StreamDC)"
GA,0.75,True,0,"Sales tax exemption for $100M-$250M investments (varies by county). SB 410 (2026) would repeal. ~$296M in tax breaks by 2025. No disclosure. (StreamDC; AbitOs; MultiState)"
HI,0.25,False,0,"No DC-specific incentive. High energy costs, island logistics, limited infrastructure. One DC (DR Fortress) got general job-creation incentive. (WebSearch)"
ID,0.5,True,0,"State-level sales tax exemption for qualifying DC developments. Limited details available. No disclosure. (StreamDC; WebSearch)"
IL,0.75,True,2,"IL Data Center Investment Program: comprehensive tax exemptions/credits, $250M min investment. Carbon neutrality required within 2yr. Discloses recipients. (StreamDC; NCSL; GJF Cloudy Data)"
IN,0.75,True,2,"Sales/use tax exemption up to 25yr ($750M threshold), 50yr for larger. $10M min. Complete exemption on power infra. Discloses via transparency portal. (StreamDC; H5Data; GJF Cloudy Data)"
IA,0.75,True,0,"Sales tax breaks from $1M; property tax exemption on equipment. 2025 reform: 10-15yr limit (was indefinite). No disclosure. (StreamDC; NCSL; H5Data)"
KS,0.75,True,0,"20yr state/local sales/use tax exemption under SB 98 (2025). $250M min investment, 20 jobs within 2yr. No disclosure. (NCSL; StreamDC)"
KY,0.75,True,0,"Sales/use tax exemption, $100M min investment. Expanded under HB 775 (2025). Thresholds vary by county population. No disclosure. (StreamDC; H5Data)"
LA,0.75,True,0,"Sales/use tax rebate on equipment/construction (Act 730). $200M investment, 50 jobs, up to 20yr + 10yr extension. No disclosure. (StreamDC; NCSL; WebSearch)"
ME,0.5,True,0,"Sales tax refund/exemption for 20K+ sq ft facilities. Limited program scope. No disclosure. (StreamDC)"
MD,0.75,True,0,"Sales/use tax exemption: 10yr for $2-5M, 20yr for $250M+, 5 jobs required. HB 560 (2026) would repeal. No disclosure. (StreamDC; Commerce.Maryland.gov; MultiState)"
MA,0.5,True,0,"20yr sales/use tax exemption but high thresholds: $50M investment, 100K+ sq ft, 100 jobs. Restrictive eligibility. No disclosure. (StreamDC; WebSearch)"
MI,0.75,True,0,"Sales/use tax exemption, $250M+ investment, 30 jobs at 150% regional median wage. Available through 2050/2065. No disclosure. (StreamDC)"
MN,0.75,True,2,"20yr sales tax exemption on equipment/energy; permanent property tax exemption. $30M+ investment. 2025 rollback: removed electricity exemption. Discloses recipients. (StreamDC; NCSL; GJF Cloudy Data)"
MS,0.75,True,0,"Sales/use tax exemption plus income/franchise tax exemption. $20M investment, 20 jobs at 125% state avg wage. Up to 10yr. No disclosure. (StreamDC; H5Data)"
MO,0.5,True,0,"Sales tax exemption: $25M/10 jobs (new), $5M/5 jobs (existing). Modest program. No disclosure. (StreamDC; H5Data)"
